4001, 96179, 0, 0, 0
4001, 47656, 1, 0, 0
8007, 97254, 0, 0, 0
8007, 48103, 1, 0, 0
12153, 97659, 0, 0, 0
12153, 47231, 1, 0, 0
16234, 96564, 0, 0, 0
16234, 47654, 1, 0, 0
20314, 97937, 0, 0, 0
20314, 48572, 1, 0, 0
24387, 96581, 0, 0, 0
24387, 47831, 1, 0, 0
28446, 96126, 0, 0, 0
28446, 48149, 1, 0, 0
32472, 95709, 0, 0, 0
32472, 47757, 1, 0, 0
36555, 97489, 0, 0, 0
36555, 47478, 1, 0, 0
40640, 96658, 0, 0, 0
40640, 47757, 1, 0, 0
44722, 96235, 0, 0, 0
44722, 48082, 1, 0, 0
48805, 96407, 0, 0, 0
48805, 47290, 1, 0, 0
52886, 96854, 0, 0, 0
52886, 47807, 1, 0, 0
56965, 97188, 0, 0, 0
56965, 48486, 1, 0, 0
