4001, 38786, 0, 0, 0
4001, 19335, 1, 0, 0
8000, 37301, 0, 0, 0
8000, 18176, 1, 0, 0
12000, 36752, 0, 0, 0
12000, 18104, 1, 0, 0
16000, 37893, 0, 0, 0
16000, 18768, 1, 0, 0
20000, 38952, 0, 0, 0
20000, 19264, 1, 0, 0
24000, 36925, 0, 0, 0
24000, 17624, 1, 0, 0
28000, 38093, 0, 0, 0
28000, 18436, 1, 0, 0
32000, 37932, 0, 0, 0
32000, 18928, 1, 0, 0
36000, 37505, 0, 0, 0
36000, 18824, 1, 0, 0
40000, 38472, 0, 0, 0
40000, 18720, 1, 0, 0
44000, 37477, 0, 0, 0
44000, 18768, 1, 0, 0
48000, 36440, 0, 0, 0
48000, 17808, 1, 0, 0
52000, 37912, 0, 0, 0
52000, 18884, 1, 0, 0
56000, 37473, 0, 0, 0
56000, 18484, 1, 0, 0
