4011, 81141, 0, 0, 0
4011, 39237, 1, 0, 0
8119, 65641, 0, 0, 0
8119, 32370, 1, 0, 0
12216, 73740, 0, 0, 0
12216, 36078, 1, 0, 0
16324, 72295, 0, 0, 0
16325, 35858, 1, 0, 0
20407, 64548, 0, 0, 0
20407, 32094, 1, 0, 0
24515, 78891, 0, 0, 0
24515, 38971, 1, 0, 0
28592, 63896, 0, 0, 0
28592, 31747, 1, 0, 0
32678, 76502, 0, 0, 0
32678, 37962, 1, 0, 0
36764, 70239, 0, 0, 0
36764, 34041, 1, 0, 0
40837, 69005, 0, 0, 0
40837, 33901, 1, 0, 0
44865, 76282, 0, 0, 0
44865, 38012, 1, 0, 0
48978, 63328, 0, 0, 0
48978, 30887, 1, 0, 0
53062, 79386, 0, 0, 0
53062, 39748, 1, 0, 0
57136, 67140, 0, 0, 0
57136, 33528, 1, 0, 0
