4000, 295786, 0, 0, 0
4000, 124259, 1, 0, 0
8000, 138708, 1, 0, 0
8000, 304853, 0, 0, 0
12000, 294471, 0, 0, 0
12000, 115219, 1, 0, 0
16000, 292815, 0, 0, 0
16000, 108806, 1, 0, 0
20000, 112823, 1, 0, 0
20000, 304962, 0, 0, 0
24000, 274687, 0, 0, 0
24000, 102415, 1, 0, 0
28000, 301691, 0, 0, 0
28001, 130162, 1, 0, 0
32000, 317528, 0, 0, 0
32003, 148691, 1, 0, 0
36000, 294574, 0, 0, 0
36001, 113101, 1, 0, 0
40000, 286916, 0, 0, 0
40000, 104136, 1, 0, 0
44000, 292709, 0, 0, 0
44000, 124801, 1, 0, 0
48000, 285441, 0, 0, 0
48000, 104001, 1, 0, 0
52000, 322904, 0, 0, 0
52000, 138364, 1, 0, 0
56000, 302788, 0, 0, 0
56001, 114106, 1, 0, 0
60000, 114801, 1, 0, 0
60000, 309169, 0, 0, 0
